Diagnostico_Codigo;Diagnostico_Desc
D140;TUMOR BENIGNO DEL OÍDO MEDIO, DE LA CAVIDAD NASAL Y DE LOS SENOS PARANASALES
O429;RUPTURA PREMATURA DE LAS MEMBRANAS, SIN OTRA ESPECIFICACIÓN
K808;OTRAS COLELITIASIS
W540;MORDEDURA O ATAQUE DE PERRO, EN VIVIENDA
K37X;APENDICITIS, NO ESPECIFICADA
S626;FRACTURA DE OTRO DEDO DE LA MANO
D471;ENFERMEDAD MIELOPROLIFERATIVA CRÓNICA
Q273;MALFORMACIÓN ARTERIOVENOSA PERIFÉRICA
O268;OTRAS COMPLICACIONES ESPECIFICADAS RELACIONADAS CON EL EMBARAZO
O363;ATENCIÓN MATERNA POR SIGNOS DE HIPOXIA FETAL
M169;COXARTROSIS, NO ESPECIFICADA
S618;HERIDA DE OTRAS PARTES DE LA MUÑECA Y DE LA MANO
M328;OTRAS FORMAS DE LUPUS ERITEMATOSO SISTÉMICO
K514;SEUDOPOLIPOSIS DEL COLON
S010;HERIDA DEL CUERO CABELLUDO
T398;OTROS ANALGÉSICOS NO NARCÓTICOS Y ANTIPIRÉTICOS, NO CLASIFICADOS EN OTRA PARTE
D057;OTROS CARCINOMAS IN SITU DE LA MAMA
L600;UÑA ENCARNADA
F03X;DEMENCIA, NO ESPECIFICADA
R568;OTRAS CONVULSIONES Y LAS NO ESPECIFICADAS
T16X;CUERPO EXTRAÑO EN EL OÍDO
I612;HEMORRAGIA INTRACEREBRAL EN HEMISFERIO, NO ESPECIFICADA
E116;DIABETES MELLITUS NO INSULINODEPENDIENTE, CON OTRAS COMPLICACIONES ESPECIFICADAS
J348;OTROS TRASTORNOS ESPECIFICADOS DE LA NARIZ Y DE LOS SENOS PARANASALES
C787;TUMOR MALIGNO SECUNDARIO DEL HÍGADO
G542;TRASTORNOS DE LA RAÍZ CERVICAL, NO CLASIFICADOS EN OTRA PARTE
K228;OTRAS ENFERMEDADES ESPECIFICADAS DEL ESÓFAGO
H813;OTROS VÉRTIGOS PERIFÉRICOS
I119;ENFERMEDAD CARDÍACA HIPERTENSIVA SIN INSUFICIENCIA CARDÍACA (CONGESTIVA)
H609;OTITIS EXTERNA, SIN OTRA ESPECIFICACIÓN
C900;MIELOMA MÚLTIPLE
R520;DOLOR AGUDO
C839;LINFOMA NO HODGKIN DIFUSO, SIN OTRA ESPECIFICACIÓN
O366;ATENCIÓN MATERNA POR CRECIMIENTO FETAL EXCESIVO
S832;DESGARRO DE MENISCOS, PRESENTE
K929;ENFERMEDAD DEL SISTEMA DIGESTIVO, NO ESPECIFICADA
D440;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLÁNDULA TIROIDES
D099;CARCINOMA IN SITU, SITIO NO ESPECIFICADO
I110;ENFERMEDAD CARDÍACA HIPERTENSIVA CON INSUFICIENCIA CARDÍACA (CONGESTIVA)
J352;HIPERTROFIA DE LAS ADENOIDES
R42X;MAREO Y DESVANECIMIENTO
R103;DOLOR LOCALIZADO EN OTRAS PARTES INFERIORES DEL ABDOMEN
J410;BRONQUITIS CRÓNICA SIMPLE
H809;OTOSCLEROSIS, NO ESPECIFICADA
S924;FRACTURA DE LOS HUESOS DEL DEDO GORDO DEL PIE
K758;OTRAS ENFERMEDADES INFLAMATORIAS DEL HÍGADO, ESPECIFICADAS
Z301;INSERCIÓN DE DISPOSITIVO ANTICONCEPTIVO (INTRAUTERINO)
D171;TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTÁNEO DEL TRONCO
O16X;HIPERTENSIÓN MATERNA, NO ESPECIFICADA
Z364;PESQUISA PRENATAL DEL RETARDO DEL CRECIMIENTO FETAL USANDO ULTRASONIDO Y OTROS MÉTODOS FÍSICOS
H159;TRASTORNO DE LA ESCLERÓTICA, NO ESPECIFICADO
S127;FRACTURAS MÚLTIPLES DE COLUMNA CERVICAL
S870;TRAUMATISMO POR APLASTAMIENTO DE LA RODILLA
K291;OTRAS GASTRITIS AGUDAS
R074;DOLOR EN EL PECHO, NO ESPECIFICADO
S907;TRAUMATISMOS SUPERFICIALES MÚLTIPLES DEL PIE Y DEL TOBILLO
H010;BLEFARITIS
L579;CAMBIOS DE LA PIEL DEBIDOS A EXPOSICIÓN CRÓNICA A RADIACIÓN NO IONIZANTE, SIN OTRA ESPECIFICACIÓN
S500;CONTUSIÓN DEL CODO
L932;OTROS LUPUS ERITEMATOSOS LOCALIZADOS
T335;CONGELAMIENTO SUPERFICIAL DE LA MUÑECA Y DE LA MANO
N512;BALANITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
S025;FRACTURA DE LOS DIENTES
A630;VERRUGAS (VENÉREAS) ANOGENITALES
J310;RINITIS CRÓNICA
N879;DISPLASIA DEL CUELLO DEL ÚTERO, NO ESPECIFICADA
A661;LESIONES PAPILOMATOSAS MÚLTIPLES Y FRAMBESIA CON PASO DE CANGREJO
N871;DISPLASIA CERVICAL MODERADA
P369;SEPSIS BACTERIANA DEL RECIÉN NACIDO, NO ESPECIFICADA
I829;EMBOLIA Y TROMBOSIS DE VENA NO ESPECIFICADA
D234;TUMOR BENIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO
O200;AMENAZA DE ABORTO
S860;TRAUMATISMO DEL TENDÓN DE AQUILES
N358;OTRAS ESTRECHECES URETRALES
J942;HEMOTÓRAX
S219;HERIDA DEL TÓRAX, PARTE NO ESPECIFICADA
N509;TRASTORNO NO ESPECIFICADO DE LOS ÓRGANOS GENITALES MASCULINOS
M546;DOLOR EN LA COLUMNA DORSAL
N209;CÁLCULO URINARIO, NO ESPECIFICADO
S920;FRACTURA DEL CALCÁNEO
G404;OTRAS EPILEPSIAS Y SÍNDROMES EPILÉPTICOS GENERALIZADOS
H046;OTROS CAMBIOS DE LAS VÍAS LAGRIMALES
G458;OTRAS ISQUEMIAS CEREBRALES TRANSITORIAS Y SÍNDROMES AFINES
G629;POLINEUROPATÍA, NO ESPECIFICADA
N393;INCONTINENCIA URINARIA POR TENSIÓN
O260;AUMENTO EXCESIVO DE PESO EN EL EMBARAZO
J304;RINITIS ALÉRGICA, NO ESPECIFICADA
D486;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA MAMA
S932;RUPTURA DE LIGAMENTOS A NIVEL DEL TOBILLO Y DEL PIE
R500;FIEBRE CON ESCALOFRÍO
M653;DEDO EN GATILLO
W014;CAÍDA EN EL MISMO NIVEL POR DESLIZAMIENTO, TROPEZÓN Y TRASPIÉ, EN CALLES Y CARRETERAS
S012;HERIDA DE LA NARIZ
Q431;ENFERMEDAD DE HIRSCHSPRUNG
R635;AUMENTO ANORMAL DE PESO
W508;APORREO, GOLPE, MORDEDURA, PATADA, RASGUÑO O TORCEDURA INFLIGIDOS POR OTRA PERSONA, EN OTRO LUGAR ESPECIFICADO
J069;INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS SUPERIORES, NO ESPECIFICADA
N608;OTRAS DISPLASIAS MAMARIAS BENIGNAS
L818;OTROS TRASTORNOS ESPECIFICADOS DE LA PIGMENTACIÓN
C20X;TUMOR MALIGNO DEL RECTO
0;DIAGNÓSTICO PENDIENTE
J353;HIPERTROFIA DE LAS AMÍGDALAS CON HIPERTROFIA DE LAS ADENOIDES
J42X;BRONQUITIS CRÓNICA NO ESPECIFICADA
N951;ESTADOS MENOPÁUSICOS Y CLIMATÉRICOS FEMENINOS
R31;HEMATURIA, NO ESPECIFICADA
L989;TRASTORNO DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO, NO ESPECIFICADO
H228;OTROS TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
G433;MIGRAÑA COMPLICADA
T039;LUXACIONES, TORCEDURAS Y ESGUINCES MÚLTIPLES, NO ESPECIFICADOS
I839;VENAS VARICOSAS DE LOS MIEMBROS INFERIORES SIN ÚLCERA NI INFLAMACIÓN
C218;LESIÓN DE SITIOS CONTIGUOS DEL ANO, DEL CONDUCTO ANAL Y DEL RECTO
D280;TUMOR BENIGNO DE LA VULVA
K529;COLITIS Y GASTROENTERITIS NO INFECCIOSAS, NO ESPECIFICADAS
D34X;TUMOR BENIGNO DE LA GLÁNDULA TIROIDES
O342;ATENCIÓN MATERNA POR CICATRIZ UTERINA DEBIDA A CIRUGÍA PREVIA
H269;CATARATA, NO ESPECIFICADA
I770;FÍSTULA ARTERIOVENOSA, ADQUIRIDA
E050;TIROTOXICOSIS CON BOCIO DIFUSO
H669;OTITIS MEDIA, NO ESPECIFICADA
S833;DESGARRO DEL CARTÍLAGO ARTICULAR DE LA RODILLA, PRESENTE
N419;ENFERMEDAD INFLAMATORIA DE LA PRÓSTATA, NO ESPECIFICADA
N801;ENDOMETRIOSIS DEL OVARIO
R398;OTROS SÍNTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA URINARIO Y LOS NO ESPECIFICADOS
S925;FRACTURA DE LOS HUESOS DE OTRO(S) DEDO(S) DEL PIE
S011;HERIDA DEL PÁRPADO Y DE LA REGIÓN PERIOCULAR
Z450;ASISTENCIA Y AJUSTE DE MARCAPASO CARDÍACO
L700;ACNÉ VULGAR
N86X;EROSIÓN Y ECTROPIÓN DEL CUELLO DEL ÚTERO
F412;TRASTORNO MIXTO DE ANSIEDAD Y DEPRESIÓN
Y839;PROCEDIMIENTO QUIRÚRGICO NO ESPECIFICADO
A028;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
I848;HEMORROIDES NO ESPECIFICADAS, CON OTRAS COMPLICACIONES
J46X;ESTADO ASMÁTICO
S424;FRACTURA DE LA EPÍFISIS INFERIOR DEL HÚMERO
Q750;CRANEOSINOSTOSIS
Z320;EMBARAZO (AÚN) NO CONFIRMADO
G541;TRASTORNOS DEL PLEXO LUMBOSACRO
M750;CAPSULITIS ADHESIVA DEL HOMBRO
C796;TUMOR MALIGNO SECUNDARIO DEL OVARIO
Z931;GASTROSTOMÍA
I499;ARRITMIA CARDÍACA, NO ESPECIFICADA
N029;HEMATURIA RECURRENTE Y PERSISTENTE, NO ESPECIFICADA
L020;ABSCESO CUTÁNEO, FURÚNCULO Y CARBUNCO DE LA CARA
R591;ADENOMEGALIA GENERALIZADA
H438;OTROS TRASTORNOS DEL CUERPO VÍTREO
M171;OTRAS GONARTROSIS PRIMARIAS
F323;EPISODIO DEPRESIVO GRAVE CON SÍNTOMAS PSICÓTICOS
H902;HIPOACUSIA CONDUCTIVA, SIN OTRA ESPECIFICACIÓN
Z340;SUPERVISIÓN DE PRIMER EMBARAZO NORMAL
Q254;OTRAS MALFORMACIONES CONGÉNITAS DE LA AORTA
N926;MENSTRUACIÓN IRREGULAR, NO ESPECIFICADA
P073;OTROS RECIÉN NACIDOS PRETÉRMINO
G700;MIASTENIA GRAVIS
G432;ESTADO MIGRAÑOSO
K828;OTRAS ENFERMEDADES ESPECIFICADAS DE LA VESÍCULA BILIAR
M064;POLIARTROPATÍA INFLAMATORIA
N938;OTRAS HEMORRAGIAS UTERINAS O VAGINALES ANORMALES ESPECIFICADAS
W551;MORDEDURA O ATAQUE DE OTROS MAMÍFEROS, EN INSTITUCIÓN RESIDENCIAL
N486;BALANITIS XERÓTICA OBLITERANTE
M763;SÍNDROME DEL TENDÓN DEL TENSOR DE LA FASCIA LATA
C921;LEUCEMIA MIELOIDE CRÓNICA
C951;LEUCEMIA CRÓNICA, CÉLULAS DE TIPO NO ESPECIFICADO
N73X;OTRAS ENFERMEDADES PELVICAS INFLAMATORIAS FEMENINAS
R32X;INCONTINENCIA URINARIA, NO ESPECIFICADA
T181;CUERPO EXTRAÑO EN EL ESÓFAGO
L038;CELULITIS DE OTROS SITIOS
S633;RUPTURA TRAUMÁTICA DE LIGAMENTOS DE LA MUÑECA Y DEL CARPO
D224;NEVO MELANOCÍTICO DEL CUERO CABELLUDO Y DEL CUELLO
W219;GOLPE CONTRA O GOLPEADO POR EQUIPO PARA DEPORTES, EN LUGAR NO ESPECIFICADO
O622;OTRAS INERCIAS UTERINAS
D599;ANEMIA HEMOLÍTICA ADQUIRIDA, SIN OTRA ESPECIFICACIÓN
R599;ADENOMEGALIA, NO ESPECIFICADA
L050;QUISTE PILONIDAL CON ABSCESO
H578;OTROS TRASTORNOS ESPECIFICADOS DEL OJO Y SUS ANEXOS
S431;LUXACIÓN DE LA ARTICULACIÓN ACROMIOCLAVICULAR
D374;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL COLON
C182;TUMOR MALIGNO DEL COLON ASCENDENTE
C161;TUMOR MALIGNO DEL FUNDUS GÁSTRICO
J441;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA CON EXACERBACIÓN AGUDA, NO ESPECIFICADA
S068;OTROS TRAUMATISMOS INTRACRANEALES
B209;ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDAD INFECCIOSA O PARASITARIA NO ESPECIFICADA
M549;DORSALGIA, NO ESPECIFICADA
G402;EPILEPSIA Y SÍNDROMES EPILÉPTICOS SINTOMÁTICOS RELACIONADOS CON LOCALIZACIONES (FOCALES) (PARCIALES) Y CON ATAQUES PARCIALES COMPLEJOS
N40;HIPERPLASIA DE LA PRÓSTATA
G530;NEURALGIA POSTHERPES ZOSTER (B02.2+)
C000;TUMOR MALIGNO DEL LABIO SUPERIOR, CARA EXTERNA
I745;EMBOLIA Y TROMBOSIS DE ARTERIA ILIACA
D373;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL APÉNDICE
K409;HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, SIN OBSTRUCCIÓN NI GANGRENA
H049;TRASTORNO DEL APARATO LAGRIMAL, NO ESPECIFICADO
H110;PTERIGIÓN
H654;OTRAS OTITIS MEDIAS CRÓNICAS NO SUPURATIVAS
K021;CARIES DE LA DENTINA
I209;ANGINA DE PECHO, NO ESPECIFICADA
D046;CARCINOMA IN SITU DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO
S623;FRACTURA DE OTROS HUESOS METACARPIANOS
W558;MORDEDURA O ATAQUE DE OTROS MAMÍFEROS, EN OTRO LUGAR ESPECIFICADO
M542;CERVICALGIA
J00X;RINOFARINGITIS AGUDA [RESFRIADO COMÚN]
O829;PARTO POR CESÁREA, SIN OTRA ESPECIFICACIÓN
J110;INFLUENZA CON NEUMONÍA, VIRUS NO IDENTIFICADO
C187;TUMOR MALIGNO DEL COLON SIGMOIDE
K137;OTRAS LESIONES Y LAS NO ESPECIFICADAS DE LA MUCOSA BUCAL
Z136;EXAMEN DE PESQUISA ESPECIAL PARA TRASTORNOS CARDIOVASCULARES
J939;NEUMOTÓRAX, NO ESPECIFICADO
K802;CÁLCULO DE LA VESÍCULA BILIAR SIN COLECISTITIS
C541;TUMOR MALIGNO DEL ENDOMETRIO
C499;TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO, DE SITIO NO ESPECIFICADO
T742;ABUSO SEXUAL
G448;OTROS SÍNDROMES DE CEFALEA ESPECIFICADOS
G431;MIGRAÑA CON AURA [MIGRAÑA CLÁSICA]
N803;ENDOMETRIOSIS DEL PERITONEO PÉLVICO
M866;OTRAS OSTEOMIELITIS CRÓNICAS
M706;BURSITIS DEL TROCÁNTER
R908;OTROS HALLAZGOS ANORMALES EN DIAGNÓSTICO POR IMAGEN DEL SISTEMA NERVIOSO CENTRAL
J042;LARINGOTRAQUEÍTIS AGUDA
D059;CARCINOMA IN SITU DE LA MAMA, PARTE NO ESPECIFICADA
Z125;EXAMEN DE PESQUISA ESPECIAL PARA TUMOR DE LA PRÓSTATA
S059;TRAUMATISMO DEL OJO Y DE LA ÓRBITA, NO ESPECIFICADO
H579;TRASTORNO DEL OJO Y SUS ANEXOS, NO ESPECIFICADO
I832;VENAS VARICOSAS DE LOS MIEMBROS INFERIORES CON ÚLCERA E INFLAMACIÓN
M480;ESTENOSIS ESPINAL
N761;VAGINITIS SUBAGUDA Y CRÓNICA
S622;FRACTURA DEL PRIMER METACARPIANO
L603;DISTROFIA UNGUEAL
M678;OTROS TRASTORNOS ESPECIFICADOS DE LA SINOVIA Y DEL TENDÓN
E136;DIABETES MELLITUS ESPECIFICADA, CON OTRAS COMPLICACIONES ESPECIFICADAS
Z352;SUPERVISIÓN DE EMBARAZO CON OTRO RIESGO EN LA HISTORIA OBSTÉTRICA O REPRODUCTIVA
H215;OTRAS ADHERENCIAS Y DESGARROS DEL IRIS Y DEL CUERPO CILIAR
L638;OTRAS ALOPECIAS AREATAS
M329;LUPUS ERITEMATOSO SISTÉMICO, SIN OTRA ESPECIFICACIÓN
N856;SINEQUIAS INTRAUTERINAS
D485;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PIEL
N228;CÁLCULO DE LAS VÍAS URINARIAS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L721;QUISTE TRICODÉRMICO
J329;SINUSITIS CRÓNICA, NO ESPECIFICADA
H264;CATARATA RESIDUAL
M868;OTRAS OSTEOMIELITIS
D649;ANEMIA DE TIPO NO ESPECIFICADO
E878;OTROS TRASTORNOS DEL EQUILIBRIO DE LOS ELECTRÓLITOS Y DE LOS LÍQUIDOS, NO CLASIFICADOS EN OTRA PARTE
L574;PIEL LAXA SENIL
H268;OTRAS FORMAS ESPECIFICADAS DE CATARATA
E209;HIPOPARATIROIDISMO, NO ESPECIFICADO
N840;PÓLIPO DEL CUERPO DEL ÚTERO
M771;EPICONDILITIS LATERAL
K625;HEMORRAGIA DEL ANO Y DEL RECTO
N481;BALANOPOSTITIS
M533;TRASTORNOS SACROCOCCÍGEOS, NO CLASIFICADOS EN OTRA PARTE
R252;CALAMBRES Y ESPASMOS
I698;SECUELAS DE OTRAS ENFERMEDADES CEREBROVASCULARES Y DE LAS NO ESPECIFICADAS
D237;TUMOR BENIGNO DE LA PIEL DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA
M673;SINOVITIS TRANSITORIA
F411;TRASTORNO DE ANSIEDAD GENERALIZADA
N815;ENTEROCELE VAGINAL
H100;CONJUNTIVITIS MUCOPURULENTA
D477;OTROS TUMORES ESPECIFICADOS DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TEJIDO LINFÁTICO, DE LOS ÓRGANOS HEMATOPOYÉTICOS Y DE TEJIDOS AFINES
Z309;ASISTENCIA PARA LA ANTICONCEPCIÓN, NO ESPECIFICADA
I842;HEMORROIDES INTERNAS SIN COMPLICACIÓN
H71X;COLESTEATOMA DEL OÍDO MEDIO
S823;FRACTURA DE LA EPÍFISIS INFERIOR DE LA TIBIA
Z480;ATENCIÓN DE LOS APÓSITOS Y SUTURAS
M760;TENDINITIS DEL GLÚTEO
D70X;AGRANULOCITOSIS
N369;TRASTORNO DE LA URETRA, NO ESPECIFICADO
O300;EMBARAZO DOBLE
G571;MERALGIA PARESTÉSICA
J330;PÓLIPO DE LA CAVIDAD NASAL
M199;ARTROSIS, NO ESPECIFICADA
B351;TIÑA DE LAS UÑAS
S831;LUXACIÓN DE LA RODILLA
S510;HERIDA DEL CODO
H839;TRASTORNO DEL OÍDO INTERNO, NO ESPECIFICADO
L990;AMILOIDOSIS DE LA PIEL (E85.-+)
M602;GRANULOMA POR CUERPO EXTRAÑO EN TEJIDO BLANDO, NO CLASIFICADO EN OTRA PARTE
K746;OTRAS CIRROSIS DEL HÍGADO Y LAS NO ESPECIFICADAS
N764;ABSCESO VULVAR
M674;GANGLIÓN
S637;ESGUINCES Y TORCEDURAS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA MUÑECA Y DE LA MANO
C859;LINFOMA NO HODGKIN, NO ESPECIFICADO
I48X;FIBRILACIÓN Y ALETEO AURICULAR
G250;TEMBLOR ESENCIAL
J111;INFLUENZA CON OTRAS MANIFESTACIONES RESPIRATORIAS, VIRUS NO IDENTIFICADO
N771;VAGINITIS, VULVITIS Y VULVOVAGINITIS EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
I451;OTROS TIPOS DE BLOQUEO DE RAMA DERECHA DEL HAZ Y LOS NO ESPECIFICADOS
L209;DERMATITIS ATÓPICA, NO ESPECIFICADA
I519;ENFERMEDAD CARDÍACA, NO ESPECIFICADA
I743;EMBOLIA Y TROMBOSIS DE ARTERIAS DE LOS MIEMBROS INFERIORES
S017;HERIDAS MÚLTIPLES DE LA CABEZA
Z961;PRESENCIA DE LENTES INTRAOCULARES
E148;DIABETES MELLITUS, NO ESPECIFICADA, CON COMPLICACIONES NO ESPECIFICADAS
D316;TUMOR BENIGNO DE LA ÓRBITA, PARTE NO ESPECIFICADA
I841;HEMORROIDES INTERNAS CON OTRAS COMPLICACIONES
D371;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ESTÓMAGO
S617;HERIDAS MÚLTIPLES DE LA MUÑECA Y DE LA MANO
A083;OTRAS ENTERITIS VIRALES
L870;QUERATOSIS FOLICULAR Y PARAFOLICULAR PENETRANTE DEL CUTIS [KYRLE]
Q660;TALIPES EQUINOVARUS
S908;OTROS TRAUMATISMOS SUPERFICIALES DEL PIE Y DEL TOBILLO
K612;ABSCESO ANORRECTAL
C910;LEUCEMIA LINFOBLÁSTICA AGUDA
L031;CELULITIS DE OTRAS PARTES DE LOS MIEMBROS
E063;TIROIDITIS AUTOINMUNE
H912;HIPOACUSIA SÚBITA IDIOPÁTICA
H612;CERUMEN IMPACTADO
H250;CATARATA SENIL INCIPIENTE
M766;TENDINITIS AQUILIANA
K571;ENFERMEDAD DIVERTICULAR DEL INTESTINO DELGADO SIN PERFORACIÓN NI ABSCESO
J322;SINUSITIS ETMOIDAL CRÓNICA
E340;SÍNDROME CARCINOIDE
D375;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL RECTO
J40X;BRONQUITIS, NO ESPECIFICADA COMO AGUDA O CRÓNICA
G039;MENINGITIS, NO ESPECIFICADA
M259;TRASTORNO ARTICULAR, NO ESPECIFICADO
K602;FISURA ANAL, NO ESPECIFICADA
F529;DISFUNCIÓN SEXUAL NO OCASIONADA POR TRASTORNO NI POR ENFERMEDAD ORGÁNICOS, NO ESPECIFICADA
F319;TRASTORNO AFECTIVO BIPOLAR, NO ESPECIFICADO
S700;CONTUSIÓN DE LA CADERA
P928;OTROS PROBLEMAS DE ALIMENTACIÓN DEL RECIÉN NACIDO
T237;CORROSIÓN DE LA MUÑECA Y DE LA MANO, DE TERCER GRADO
W579;MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTRÓPODOS NO VENENOSOS, EN LUGAR NO ESPECIFICADO
E660;OBESIDAD DEBIDA A EXCESO DE CALORÍAS
S521;FRACTURA DE LA EPÍFISIS SUPERIOR DEL RADIO
D401;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TESTÍCULO
M239;TRASTORNO INTERNO DE LA RODILLA, NO ESPECIFICADO
C341;TUMOR MALIGNO DEL LÓBULO SUPERIOR, BRONQUIO O PULMÓN
F238;OTROS TRASTORNOS PSICÓTICOS AGUDOS Y TRANSITORIOS
Z929;HISTORIA PERSONAL DE TRATAMIENTO MÉDICO NO ESPECIFICADO
H904;HIPOACUSIA NEUROSENSORIAL, UNILATERAL CON AUDICIÓN IRRESTRICTA CONTRALATERAL
C819;ENFERMEDAD DE HODGKIN, NO ESPECIFICADA
K760;DEGENERACIÓN GRASA DEL HÍGADO, NO CLASIFICADA EN OTRA PARTE
N130;HIDRONEFROSIS CON OBSTRUCCIÓN DE LA UNIÓN URÉTERO-PÉLVICA
S531;LUXACIÓN DEL CODO, NO ESPECIFICADA
S701;CONTUSIÓN DEL MUSLO
Q379;FISURA DEL PALADAR CON LABIO LEPORINO UNILATERAL, SIN OTRA ESPECIFICACIÓN
D226;NEVO MELANOCÍTICO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO
R05X;TOS
M198;OTRAS ARTROSIS ESPECIFICADAS
Q688;OTRAS DEFORMIDADES CONGÉNITAS OSTEOMUSCULARES, ESPECIFICADAS
L598;OTROS TRASTORNOS ESPECIFICADOS DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO RELACIONADOS CON RADIACIÓN
K818;OTRAS COLECISTITIS
J980;ENFERMEDADES DE LA TRÁQUEA Y DE LOS BRONQUIOS, NO CLASIFICADAS EN OTRA PARTE
Z012;EXAMEN ODONTOLÓGICO
M796;DOLOR EN MIEMBRO
I713;RUPTURA DE ANEURISMA DE LA AORTA ABDOMINAL
B199;HEPATITIS VIRAL NO ESPECIFICADA SIN COMA
G479;TRASTORNO DEL SUEÑO, NO ESPECIFICADO
D696;TROMBOCITOPENIA NO ESPECIFICADA
H699;TRASTORNO DE LA TROMPA DE EUSTAQUIO, NO ESPECIFICADO
K350;APENDICITIS AGUDA CON PERITONITIS GENERALIZADA
E785;HIPERLIPIDEMIA NO ESPECIFICADA
M220;LUXACIÓN RECIDIVANTE DE LA RÓTULA
H403;GLAUCOMA SECUNDARIO A TRAUMATISMO OCULAR
D231;TUMOR BENIGNO DE LA PIEL DEL PÁRPADO, INCLUIDA LA COMISURA PALPEBRAL
L089;INFECCIÓN LOCAL DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO, NO ESPECIFICADA
K439;HERNIA VENTRAL SIN OBSTRUCCIÓN NI GANGRENA
M775;OTRAS ENTESOPATÍAS DEL PIE
C447;TUMOR MALIGNO DE LA PIEL DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA
C56X;TUMOR MALIGNO DEL OVARIO
O367;ATENCIÓN MATERNA POR FETO VIABLE EN EMBARAZO ABDOMINAL
E069;TIROIDITIS, NO ESPECIFICADA
S721;FRACTURA PERTROCANTERIANA
M222;TRASTORNOS ROTULOFEMORALES
C786;TUMOR MALIGNO SECUNDARIO DEL PERITONEO Y DEL RETROPERITONEO
F110;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIÁCEOS, INTOXICACIÓN AGUDA
L022;ABSCESO CUTÁNEO, FURÚNCULO Y CARBUNCO DEL TRONCO
C257;TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DEL PÁNCREAS
K861;OTRAS PANCREATITIS CRÓNICAS
D898;OTROS TRASTORNOS ESPECIFICADOS QUE AFECTAN EL MECANISMO DE LA INMUNIDAD, NO CLASIFICADOS EN OTRA PARTE
R610;HIPERHIDROSIS LOCALIZADA
K028;OTRAS CARIES DENTALES ESPECIFICADAS
I472;TAQUICARDIA VENTRICULAR
S724;FRACTURA DE LA EPÍFISIS INFERIOR DEL FÉMUR
P741;DESHIDRATACIÓN DEL RECIÉN NACIDO
D509;ANEMIA POR DEFICIENCIA DE HIERRO SIN OTRA ESPECIFICACIÓN
N508;OTROS TRASTORNOS ESPECIFICADOS DE LOS ÓRGANOS GENITALES MASCULINOS
S971;TRAUMATISMO POR APLASTAMIENTO DE DEDO(S) DEL PIE
M899;TRASTORNO DEL HUESO, NO ESPECIFICADO
M755;BURSITIS DEL HOMBRO
M543;CIÁTICA
R634;PÉRDIDA ANORMAL DE PESO
R590;ADENOMEGALIA LOCALIZADA
D619;ANEMIA APLÁSTICA, SIN OTRA ESPECIFICACIÓN
F322;EPISODIO DEPRESIVO GRAVE SIN SÍNTOMAS PSICÓTICOS
N644;MASTODINIA
I252;INFARTO ANTIGUO DEL MIOCARDIO
E137;DIABETES MELLITUS ESPECIFICADA, CON COMPLICACIONES MÚLTIPLES
C710;TUMOR MALIGNO DEL CEREBRO, EXCEPTO LÓBULOS Y VENTRÍCULOS
S031;LUXACIÓN DEL CARTÍLAGO SEPTAL DE LA NARIZ
